Error: That port is already in use.
[18/Nov/2013 11:29:40] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:41] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:42] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:43] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:44] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:45] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:46] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:47] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 28
[18/Nov/2013 11:29:48] "GET /getjobinfo?jid=20131118112812542533&where=238 HTTP/1.0" 200 330
[18/Nov/2013 11:29:48] "GET /getjobinfo?jid=20131118112812542533&where=240 HTTP/1.0" 200 176
[18/Nov/2013 11:29:48] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:49] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:50] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:52] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:53] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:54] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:55] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:56] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:57] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 28
[18/Nov/2013 11:29:58] "GET /getjobinfo?jid=20131118112812542533&where=241 HTTP/1.0" 200 179
[18/Nov/2013 11:29:58] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:29:59] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:03] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:05] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:06] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:07] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:08] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 28
[18/Nov/2013 11:30:09] "GET /getjobinfo?jid=20131118112812542533&where=242 HTTP/1.0" 200 179
[18/Nov/2013 11:30:09] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:10] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:11] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:12] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:13] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:14] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:15] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:16] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:17] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 28
[18/Nov/2013 11:30:18] "GET /getjobinfo?jid=20131118112812542533&where=243 HTTP/1.0" 200 179
[18/Nov/2013 11:30:18] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:19] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:20] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:21] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:22] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:23] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
[18/Nov/2013 11:30:24] "GET /getjobinfo?jid=20131118112812542533&where=244 HTTP/1.0" 200 28
